"id","sku","name","price","stock","category_id"
"50","SKU-50","Item 50","687.77","38","48"
"51","SKU-51","Item 51","883.36","42","10"
"52","SKU-52","Item 52","359.19","97","30"
"53","SKU-53","Item 53","121.98","79","25"
"54","SKU-54","Item 54","571.66","14","43"
"55","SKU-55","Item 55","715.81","87","1"
"56","SKU-56","Item 56","654.84","51","11"
"57","SKU-57","Item 57","637.05","93","28"
"58","SKU-58","Item 58","465.42","18","5"
"59","SKU-59","Item 59","237.85","90","6"
"60","SKU-60","Item 60","320.58","31","41"
"61","SKU-61","Item 61","84.23","71","29"
"62","SKU-62","Item 62","367.79","87","11"
"63","SKU-63","Item 63","121.85","57","12"
"64","SKU-64","Item 64","996.39","65","14"
"65","SKU-65","Item 65","490.63","6","37"
"66","SKU-66","Item 66","141.90","83","6"
"67","SKU-67","Item 67","617.74","35","13"
"68","SKU-68","Item 68","430.13","11","13"
"69","SKU-69","Item 69","600.62","71","8"
"70","SKU-70","Item 70","276.88","64","3"
"71","SKU-71","Item 71","941.32","14","48"
"72","SKU-72","Item 72","608.17","13","3"
"73","SKU-73","Item 73","213.78","85","19"
"74","SKU-74","Item 74","110.93","64","6"
"75","SKU-75","Item 75","490.47","61","44"
"76","SKU-76","Item 76","276.07","89","46"
"77","SKU-77","Item 77","430.32","21","10"
"78","SKU-78","Item 78","967.51","29","29"
"79","SKU-79","Item 79","19.15","36","41"
"80","SKU-80","Item 80","357.87","10","33"
"81","SKU-81","Item 81","960.28","49","33"
"82","SKU-82","Item 82","841.39","74","41"
"83","SKU-83","Item 83","247.44","63","20"
"84","SKU-84","Item 84","434.03","74","42"
"85","SKU-85","Item 85","568.83","51","33"
"86","SKU-86","Item 86","522.46","22","39"
"87","SKU-87","Item 87","711.00","69","11"
"88","SKU-88","Item 88","184.74","11","12"
"89","SKU-89","Item 89","614.58","100","49"
"90","SKU-90","Item 90","993.05","47","50"
"91","SKU-91","Item 91","295.74","99","21"
"92","SKU-92","Item 92","369.29","54","50"
"93","SKU-93","Item 93","837.56","96","33"
"94","SKU-94","Item 94","367.92","43","22"
"95","SKU-95","Item 95","256.20","61","23"
"96","SKU-96","Item 96","399.03","50","8"
"97","SKU-97","Item 97","579.55","70","20"
"98","SKU-98","Item 98","509.30","27","49"
"99","SKU-99","Item 99","394.91","19","41"
"100","SKU-100","Item 100","420.22","49","39"
"101","SKU-101","Item 101","267.72","3","1"
"102","SKU-102","Item 102","202.38","66","5"
"103","SKU-103","Item 103","224.18","37","40"
"104","SKU-104","Item 104","129.02","15","42"
"105","SKU-105","Item 105","349.65","60","34"
"106","SKU-106","Item 106","660.14","41","42"
"107","SKU-107","Item 107","251.04","85","25"
"108","SKU-108","Item 108","635.51","54","14"
"109","SKU-109","Item 109","630.04","55","40"
"110","SKU-110","Item 110","324.92","44","38"
"111","SKU-111","Item 111","979.80","19","1"
"112","SKU-112","Item 112","273.23","82","5"
"113","SKU-113","Item 113","985.66","23","32"
"114","SKU-114","Item 114","525.71","63","9"
"115","SKU-115","Item 115","756.39","19","18"
"116","SKU-116","Item 116","617.89","50","41"
"117","SKU-117","Item 117","477.54","39","14"
"118","SKU-118","Item 118","239.04","10","5"
"119","SKU-119","Item 119","252.05","96","46"
"120","SKU-120","Item 120","160.32","98","16"
"121","SKU-121","Item 121","231.84","62","27"
"122","SKU-122","Item 122","820.01","39","30"
"123","SKU-123","Item 123","390.49","22","50"
"124","SKU-124","Item 124","679.40","64","39"
"125","SKU-125","Item 125","953.10","61","9"
"126","SKU-126","Item 126","852.42","11","11"
"127","SKU-127","Item 127","942.64","75","49"
"128","SKU-128","Item 128","486.83","19","28"
"129","SKU-129","Item 129","144.83","95","26"
"130","SKU-130","Item 130","752.23","61","24"
"131","SKU-131","Item 131","809.92","51","24"
"132","SKU-132","Item 132","560.84","51","18"
"133","SKU-133","Item 133","69.47","24","31"
"134","SKU-134","Item 134","330.06","8","26"
"135","SKU-135","Item 135","169.71","50","21"
"136","SKU-136","Item 136","763.46","15","29"
"137","SKU-137","Item 137","272.75","63","3"
"138","SKU-138","Item 138","101.75","53","38"
"139","SKU-139","Item 139","373.91","62","47"
"140","SKU-140","Item 140","776.36","69","3"
"141","SKU-141","Item 141","999.29","24","23"
"142","SKU-142","Item 142","421.22","69","39"
"143","SKU-143","Item 143","326.06","43","40"
"144","SKU-144","Item 144","518.00","87","1"
"145","SKU-145","Item 145","308.71","38","11"
"146","SKU-146","Item 146","400.16","16","35"
"147","SKU-147","Item 147","516.99","40","23"
"148","SKU-148","Item 148","948.23","47","44"
"149","SKU-149","Item 149","187.03","1","49"
"150","SKU-150","Item 150","792.97","18","36"
"151","SKU-151","Item 151","175.79","9","47"
"152","SKU-152","Item 152","144.16","97","24"
"153","SKU-153","Item 153","644.43","96","49"
"154","SKU-154","Item 154","587.58","32","43"
"155","SKU-155","Item 155","249.29","85","34"
"156","SKU-156","Item 156","952.29","25","9"
"157","SKU-157","Item 157","931.73","1","8"
"158","SKU-158","Item 158","798.67","63","41"
"159","SKU-159","Item 159","680.89","1","25"
"160","SKU-160","Item 160","311.76","8","1"
"161","SKU-161","Item 161","694.62","34","5"
"162","SKU-162","Item 162","401.75","63","22"
"163","SKU-163","Item 163","982.19","97","20"
"164","SKU-164","Item 164","678.51","36","50"
"165","SKU-165","Item 165","474.35","40","46"
"166","SKU-166","Item 166","707.67","43","48"
"167","SKU-167","Item 167","742.34","7","17"
"168","SKU-168","Item 168","661.48","52","13"
"169","SKU-169","Item 169","404.65","20","41"
"170","SKU-170","Item 170","887.51","54","42"
"171","SKU-171","Item 171","939.03","58","41"
"172","SKU-172","Item 172","255.19","14","23"
"173","SKU-173","Item 173","951.96","17","49"
"174","SKU-174","Item 174","637.92","91","21"
"175","SKU-175","Item 175","815.95","24","42"
"176","SKU-176","Item 176","33.01","15","44"
"177","SKU-177","Item 177","328.94","60","9"
"178","SKU-178","Item 178","370.57","29","5"
"179","SKU-179","Item 179","673.25","38","3"
"180","SKU-180","Item 180","673.79","17","28"
"181","SKU-181","Item 181","280.63","16","38"
"182","SKU-182","Item 182","683.25","53","2"
"183","SKU-183","Item 183","91.86","30","37"
"184","SKU-184","Item 184","985.91","25","4"
"185","SKU-185","Item 185","198.92","14","40"
"186","SKU-186","Item 186","650.87","53","5"
"187","SKU-187","Item 187","976.51","57","6"
"188","SKU-188","Item 188","727.17","6","41"
"189","SKU-189","Item 189","501.41","11","14"
"190","SKU-190","Item 190","96.82","22","11"
"191","SKU-191","Item 191","367.55","100","15"
"192","SKU-192","Item 192","472.98","89","38"
"193","SKU-193","Item 193","803.80","68","21"
"194","SKU-194","Item 194","495.85","88","6"
"195","SKU-195","Item 195","682.23","74","40"
"196","SKU-196","Item 196","633.84","57","38"
"197","SKU-197","Item 197","496.97","11","48"
"198","SKU-198","Item 198","922.54","26","31"
"199","SKU-199","Item 199","845.49","26","16"
"200","SKU-200","Item 200","895.39","80","22"
"201","SKU-201","Item 201","395.74","33","14"
"202","SKU-202","Item 202","561.87","88","25"
"203","SKU-203","Item 203","363.33","69","23"
"204","SKU-204","Item 204","104.03","27","24"
"205","SKU-205","Item 205","158.61","81","50"
"206","SKU-206","Item 206","130.51","64","7"
"207","SKU-207","Item 207","40.36","36","3"
"208","SKU-208","Item 208","925.10","15","41"
"209","SKU-209","Item 209","835.54","37","27"
"210","SKU-210","Item 210","86.68","40","9"
"211","SKU-211","Item 211","941.32","19","34"
"212","SKU-212","Item 212","670.38","98","30"
"213","SKU-213","Item 213","45.53","80","26"
"214","SKU-214","Item 214","954.59","48","47"
"215","SKU-215","Item 215","15.21","84","16"
"216","SKU-216","Item 216","121.32","60","6"
"217","SKU-217","Item 217","582.01","66","40"
"218","SKU-218","Item 218","350.96","14","48"
"219","SKU-219","Item 219","480.66","6","15"
"220","SKU-220","Item 220","417.24","28","26"
"221","SKU-221","Item 221","380.49","54","23"
"222","SKU-222","Item 222","956.62","45","1"
"223","SKU-223","Item 223","186.43","99","37"
"224","SKU-224","Item 224","25.85","7","21"
"225","SKU-225","Item 225","476.69","37","38"
"226","SKU-226","Item 226","186.45","93","38"
"227","SKU-227","Item 227","884.60","59","3"
"228","SKU-228","Item 228","40.98","11","35"
"229","SKU-229","Item 229","152.49","2","19"
"230","SKU-230","Item 230","82.58","35","7"
"231","SKU-231","Item 231","848.49","30","47"
"232","SKU-232","Item 232","927.93","98","2"
"233","SKU-233","Item 233","398.39","26","45"
"234","SKU-234","Item 234","337.31","13","8"
"235","SKU-235","Item 235","350.37","21","5"
"236","SKU-236","Item 236","240.05","70","32"
"237","SKU-237","Item 237","894.99","85","26"
"238","SKU-238","Item 238","369.64","11","33"
"239","SKU-239","Item 239","315.67","49","39"
"240","SKU-240","Item 240","569.54","26","10"
"241","SKU-241","Item 241","278.40","33","18"
"242","SKU-242","Item 242","986.86","41","35"
"243","SKU-243","Item 243","477.80","97","46"
"244","SKU-244","Item 244","908.79","69","9"
"245","SKU-245","Item 245","911.89","2","5"
"246","SKU-246","Item 246","113.84","11","1"
"247","SKU-247","Item 247","261.91","4","38"
"248","SKU-248","Item 248","954.76","32","38"
"249","SKU-249","Item 249","106.22","11","27"
"250","SKU-250","Item 250","161.63","4","16"
"251","SKU-251","Item 251","610.39","91","31"
"252","SKU-252","Item 252","53.61","74","31"
"253","SKU-253","Item 253","850.47","20","14"
"254","SKU-254","Item 254","851.17","48","16"
"255","SKU-255","Item 255","237.61","65","21"
"256","SKU-256","Item 256","295.89","47","21"
"257","SKU-257","Item 257","457.79","4","14"
"258","SKU-258","Item 258","896.30","51","24"
"259","SKU-259","Item 259","250.87","49","7"
"260","SKU-260","Item 260","646.03","33","7"
"261","SKU-261","Item 261","221.98","97","27"
"262","SKU-262","Item 262","253.37","22","18"
"263","SKU-263","Item 263","525.17","11","35"
"264","SKU-264","Item 264","763.58","75","17"
"265","SKU-265","Item 265","958.79","44","18"
"266","SKU-266","Item 266","731.27","14","44"
"267","SKU-267","Item 267","499.86","65","38"
"268","SKU-268","Item 268","367.78","97","48"
"269","SKU-269","Item 269","543.62","73","8"
"270","SKU-270","Item 270","459.41","64","49"
"271","SKU-271","Item 271","810.61","84","30"
"272","SKU-272","Item 272","963.76","86","14"
"273","SKU-273","Item 273","327.12","58","38"
"274","SKU-274","Item 274","700.48","61","5"
"275","SKU-275","Item 275","361.91","82","48"
"276","SKU-276","Item 276","118.56","72","43"
"277","SKU-277","Item 277","643.94","55","4"
"278","SKU-278","Item 278","542.15","60","26"
"279","SKU-279","Item 279","206.10","18","7"
"280","SKU-280","Item 280","141.46","85","26"
"281","SKU-281","Item 281","677.30","57","6"
"282","SKU-282","Item 282","387.63","75","47"
"283","SKU-283","Item 283","582.19","20","48"
"284","SKU-284","Item 284","758.25","85","15"
"285","SKU-285","Item 285","691.18","47","14"
"286","SKU-286","Item 286","312.01","22","38"
"287","SKU-287","Item 287","431.75","76","36"
"288","SKU-288","Item 288","409.92","17","22"
"289","SKU-289","Item 289","188.04","88","5"
"290","SKU-290","Item 290","706.61","6","46"
"291","SKU-291","Item 291","292.25","79","33"
"292","SKU-292","Item 292","360.58","30","1"
"293","SKU-293","Item 293","241.46","62","35"
"294","SKU-294","Item 294","515.88","18","13"
"295","SKU-295","Item 295","821.67","1","50"
"296","SKU-296","Item 296","273.87","42","39"
"297","SKU-297","Item 297","236.91","78","5"
"298","SKU-298","Item 298","819.95","53","33"
"299","SKU-299","Item 299","590.80","14","5"
"300","SKU-300","Item 300","506.14","39","43"
"301","SKU-301","Item 301","903.70","94","24"
"302","SKU-302","Item 302","816.26","19","23"
"303","SKU-303","Item 303","420.03","14","33"
"304","SKU-304","Item 304","235.34","97","21"
"305","SKU-305","Item 305","324.25","32","2"
"306","SKU-306","Item 306","517.54","11","22"
"307","SKU-307","Item 307","557.16","70","18"
"308","SKU-308","Item 308","949.76","91","30"
"309","SKU-309","Item 309","432.27","84","39"
"310","SKU-310","Item 310","566.23","62","7"
"311","SKU-311","Item 311","395.39","96","39"
"312","SKU-312","Item 312","987.58","75","6"
"313","SKU-313","Item 313","151.12","67","1"
"314","SKU-314","Item 314","169.98","59","10"
"315","SKU-315","Item 315","413.65","72","44"
"316","SKU-316","Item 316","233.34","22","3"
"317","SKU-317","Item 317","273.87","41","7"
"318","SKU-318","Item 318","409.41","67","40"
"319","SKU-319","Item 319","228.97","70","2"
"320","SKU-320","Item 320","599.90","28","16"
"321","SKU-321","Item 321","122.78","34","50"
"322","SKU-322","Item 322","353.64","22","33"
"323","SKU-323","Item 323","388.16","77","2"
"324","SKU-324","Item 324","214.18","26","7"
"325","SKU-325","Item 325","624.60","2","38"
"326","SKU-326","Item 326","161.71","16","46"
"327","SKU-327","Item 327","55.00","20","7"
"328","SKU-328","Item 328","180.42","93","9"
"329","SKU-329","Item 329","544.89","3","31"
"330","SKU-330","Item 330","448.44","99","3"
"331","SKU-331","Item 331","508.40","55","38"
"332","SKU-332","Item 332","483.28","82","1"
"333","SKU-333","Item 333","703.00","43","29"
"334","SKU-334","Item 334","128.76","20","6"
"335","SKU-335","Item 335","667.31","29","26"
"336","SKU-336","Item 336","560.97","95","38"
"337","SKU-337","Item 337","869.10","67","49"
"338","SKU-338","Item 338","229.72","55","25"
"339","SKU-339","Item 339","14.74","17","38"
"340","SKU-340","Item 340","503.68","59","46"
"341","SKU-341","Item 341","900.83","14","34"
"342","SKU-342","Item 342","879.91","97","3"
"343","SKU-343","Item 343","685.57","40","46"
"344","SKU-344","Item 344","882.89","75","31"
"345","SKU-345","Item 345","669.77","13","49"
"346","SKU-346","Item 346","598.16","89","25"
"347","SKU-347","Item 347","63.65","33","49"
"348","SKU-348","Item 348","504.30","35","8"
"349","SKU-349","Item 349","847.37","24","10"
"350","SKU-350","Item 350","786.41","95","42"
"351","SKU-351","Item 351","560.39","64","32"
"352","SKU-352","Item 352","406.95","28","50"
"353","SKU-353","Item 353","682.49","100","32"
"354","SKU-354","Item 354","26.58","17","1"
"355","SKU-355","Item 355","918.13","34","24"
"356","SKU-356","Item 356","594.85","54","14"
"357","SKU-357","Item 357","768.22","19","39"
"358","SKU-358","Item 358","713.64","96","43"
"359","SKU-359","Item 359","796.50","23","46"
"360","SKU-360","Item 360","445.68","31","48"
"361","SKU-361","Item 361","468.27","43","8"
"362","SKU-362","Item 362","854.53","70","3"
"363","SKU-363","Item 363","349.47","85","10"
"364","SKU-364","Item 364","497.85","63","45"
"365","SKU-365","Item 365","227.38","86","6"
"366","SKU-366","Item 366","112.22","39","39"
"367","SKU-367","Item 367","901.00","16","31"
"368","SKU-368","Item 368","914.87","69","33"
"369","SKU-369","Item 369","299.21","35","28"
"370","SKU-370","Item 370","921.62","61","3"
"371","SKU-371","Item 371","842.38","4","8"
"372","SKU-372","Item 372","715.68","15","36"
"373","SKU-373","Item 373","845.16","26","17"
"374","SKU-374","Item 374","734.40","70","1"
"375","SKU-375","Item 375","34.59","20","48"
"376","SKU-376","Item 376","536.61","26","17"
"377","SKU-377","Item 377","119.90","92","36"
"378","SKU-378","Item 378","584.88","53","32"
"379","SKU-379","Item 379","193.23","52","15"
"380","SKU-380","Item 380","740.90","72","41"
"381","SKU-381","Item 381","220.41","21","14"
"382","SKU-382","Item 382","815.86","1","26"
"383","SKU-383","Item 383","862.12","75","10"
"384","SKU-384","Item 384","676.03","27","19"
"385","SKU-385","Item 385","28.92","81","23"
"386","SKU-386","Item 386","824.62","1","19"
"387","SKU-387","Item 387","409.60","22","10"
"388","SKU-388","Item 388","766.22","96","22"
"389","SKU-389","Item 389","450.53","27","20"
"390","SKU-390","Item 390","741.21","57","16"
"391","SKU-391","Item 391","20.11","63","11"
"392","SKU-392","Item 392","172.83","55","5"
"393","SKU-393","Item 393","829.98","68","16"
"394","SKU-394","Item 394","59.75","100","12"
"395","SKU-395","Item 395","483.56","79","6"
"396","SKU-396","Item 396","17.78","89","17"
"397","SKU-397","Item 397","893.70","40","30"
"398","SKU-398","Item 398","697.71","84","35"
"399","SKU-399","Item 399","466.68","33","42"
"400","SKU-400","Item 400","688.29","83","47"
"401","SKU-401","Item 401","292.26","29","14"
"402","SKU-402","Item 402","868.47","97","11"
"403","SKU-403","Item 403","200.95","53","45"
"404","SKU-404","Item 404","253.89","39","2"
"405","SKU-405","Item 405","787.56","64","5"
"406","SKU-406","Item 406","383.32","48","2"
"407","SKU-407","Item 407","946.42","97","40"
"408","SKU-408","Item 408","257.23","28","46"
"409","SKU-409","Item 409","266.36","52","45"
"410","SKU-410","Item 410","249.15","44","15"
"411","SKU-411","Item 411","393.70","80","31"
"412","SKU-412","Item 412","765.95","4","6"
"413","SKU-413","Item 413","558.83","76","42"
"414","SKU-414","Item 414","461.01","99","6"
"415","SKU-415","Item 415","242.16","48","9"
"416","SKU-416","Item 416","344.19","50","36"
"417","SKU-417","Item 417","980.25","46","40"
"418","SKU-418","Item 418","889.88","62","33"
"419","SKU-419","Item 419","120.63","54","20"
"420","SKU-420","Item 420","377.93","97","46"
"421","SKU-421","Item 421","923.11","41","42"
"422","SKU-422","Item 422","352.15","97","22"
"423","SKU-423","Item 423","750.11","90","28"
"424","SKU-424","Item 424","912.98","66","34"
"425","SKU-425","Item 425","552.07","79","31"
"426","SKU-426","Item 426","460.08","6","3"
"427","SKU-427","Item 427","602.44","26","7"
"428","SKU-428","Item 428","714.72","93","48"
"429","SKU-429","Item 429","838.57","91","36"
"430","SKU-430","Item 430","157.47","91","43"
"431","SKU-431","Item 431","952.78","87","5"
"432","SKU-432","Item 432","932.32","63","27"
"433","SKU-433","Item 433","488.85","87","6"
"434","SKU-434","Item 434","584.38","78","48"
"435","SKU-435","Item 435","27.79","92","39"
"436","SKU-436","Item 436","100.61","24","42"
"437","SKU-437","Item 437","449.67","81","37"
"438","SKU-438","Item 438","227.55","98","29"
"439","SKU-439","Item 439","405.27","18","3"
"440","SKU-440","Item 440","731.64","97","11"
"441","SKU-441","Item 441","762.66","82","6"
"442","SKU-442","Item 442","412.81","62","10"
"443","SKU-443","Item 443","930.19","27","1"
"444","SKU-444","Item 444","970.66","53","8"
"445","SKU-445","Item 445","619.33","24","42"
"446","SKU-446","Item 446","564.59","24","22"
"447","SKU-447","Item 447","354.30","75","19"
"448","SKU-448","Item 448","278.22","84","36"
"449","SKU-449","Item 449","282.24","69","17"
"450","SKU-450","Item 450","954.33","59","45"
"451","SKU-451","Item 451","515.86","84","48"
"452","SKU-452","Item 452","831.83","29","18"
"453","SKU-453","Item 453","753.18","75","13"
"454","SKU-454","Item 454","663.94","90","41"
"455","SKU-455","Item 455","805.54","47","34"
"456","SKU-456","Item 456","854.52","82","18"
"457","SKU-457","Item 457","113.25","48","36"
"458","SKU-458","Item 458","624.09","70","13"
"459","SKU-459","Item 459","536.15","46","2"
"460","SKU-460","Item 460","668.61","58","24"
"461","SKU-461","Item 461","229.74","64","39"
"462","SKU-462","Item 462","168.78","8","24"
"463","SKU-463","Item 463","864.37","40","23"
"464","SKU-464","Item 464","645.07","11","25"
"465","SKU-465","Item 465","76.04","18","7"
"466","SKU-466","Item 466","170.28","85","37"
"467","SKU-467","Item 467","513.90","11","25"
"468","SKU-468","Item 468","21.73","63","12"
"469","SKU-469","Item 469","496.76","53","50"
"470","SKU-470","Item 470","369.56","52","42"
"471","SKU-471","Item 471","568.15","59","19"
"472","SKU-472","Item 472","512.17","90","32"
"473","SKU-473","Item 473","423.51","7","18"
"474","SKU-474","Item 474","853.71","83","26"
"475","SKU-475","Item 475","846.37","16","38"
"476","SKU-476","Item 476","271.46","27","32"
"477","SKU-477","Item 477","852.81","6","16"
"478","SKU-478","Item 478","150.57","86","13"
"479","SKU-479","Item 479","253.51","88","2"
"480","SKU-480","Item 480","12.00","97","41"
"481","SKU-481","Item 481","454.88","47","18"
"482","SKU-482","Item 482","484.27","71","35"
"483","SKU-483","Item 483","989.80","10","13"
"484","SKU-484","Item 484","111.39","63","50"
"485","SKU-485","Item 485","870.48","92","46"
"486","SKU-486","Item 486","313.00","64","11"
"487","SKU-487","Item 487","749.69","91","32"
"488","SKU-488","Item 488","69.45","91","38"
"489","SKU-489","Item 489","397.22","19","7"
"490","SKU-490","Item 490","975.57","90","31"
"491","SKU-491","Item 491","848.16","86","39"
"492","SKU-492","Item 492","97.39","36","40"
"493","SKU-493","Item 493","31.23","11","40"
"494","SKU-494","Item 494","573.51","40","4"
"495","SKU-495","Item 495","65.48","80","26"
"496","SKU-496","Item 496","518.94","10","22"
"497","SKU-497","Item 497","615.47","62","5"
"498","SKU-498","Item 498","554.99","60","11"
"499","SKU-499","Item 499","458.84","71","21"
"500","SKU-500","Item 500","969.86","59","3"
"501","SKU-501","Item 501","416.15","14","49"
"502","SKU-502","Item 502","44.03","33","34"
"503","SKU-503","Item 503","59.29","48","25"
"504","SKU-504","Item 504","93.03","69","38"
"505","SKU-505","Item 505","559.59","22","11"
"506","SKU-506","Item 506","563.33","89","10"
"507","SKU-507","Item 507","422.03","43","44"
"508","SKU-508","Item 508","699.77","70","40"
"509","SKU-509","Item 509","170.50","5","46"
"510","SKU-510","Item 510","411.80","65","13"
"511","SKU-511","Item 511","411.64","43","46"
"512","SKU-512","Item 512","662.23","35","12"
"513","SKU-513","Item 513","130.02","45","30"
"514","SKU-514","Item 514","693.12","70","11"
"515","SKU-515","Item 515","988.78","81","27"
"516","SKU-516","Item 516","269.93","56","21"
"517","SKU-517","Item 517","598.93","89","39"
"518","SKU-518","Item 518","390.02","76","11"
"519","SKU-519","Item 519","605.54","60","47"
"520","SKU-520","Item 520","210.39","37","31"
"521","SKU-521","Item 521","209.32","100","39"
"522","SKU-522","Item 522","550.22","80","21"
"523","SKU-523","Item 523","699.60","46","38"
"524","SKU-524","Item 524","581.00","20","14"
"525","SKU-525","Item 525","666.70","52","15"
"526","SKU-526","Item 526","349.21","59","41"
"527","SKU-527","Item 527","50.03","24","23"
"528","SKU-528","Item 528","110.86","39","46"
"529","SKU-529","Item 529","869.01","18","2"
"530","SKU-530","Item 530","482.07","31","43"
"531","SKU-531","Item 531","622.92","51","8"
"532","SKU-532","Item 532","893.41","84","5"
"533","SKU-533","Item 533","780.04","94","25"
"534","SKU-534","Item 534","205.07","17","1"
"535","SKU-535","Item 535","88.07","67","14"
"536","SKU-536","Item 536","316.31","59","46"
"537","SKU-537","Item 537","480.55","38","35"
"538","SKU-538","Item 538","364.97","52","36"
"539","SKU-539","Item 539","70.65","19","47"
"540","SKU-540","Item 540","36.31","58","20"
"541","SKU-541","Item 541","482.21","6","14"
"542","SKU-542","Item 542","662.63","65","18"
"543","SKU-543","Item 543","370.06","35","24"
"544","SKU-544","Item 544","535.67","36","25"
"545","SKU-545","Item 545","254.94","88","45"
"546","SKU-546","Item 546","882.04","23","23"
"547","SKU-547","Item 547","325.72","26","41"
"548","SKU-548","Item 548","323.69","20","39"
"549","SKU-549","Item 549","310.55","22","35"
"550","SKU-550","Item 550","608.00","58","19"
"551","SKU-551","Item 551","231.70","54","48"
"552","SKU-552","Item 552","527.27","61","25"
"553","SKU-553","Item 553","368.35","23","48"
"554","SKU-554","Item 554","713.18","24","26"
"555","SKU-555","Item 555","176.11","3","47"
"556","SKU-556","Item 556","944.49","75","46"
"557","SKU-557","Item 557","990.57","25","46"
"558","SKU-558","Item 558","158.88","77","28"
"559","SKU-559","Item 559","382.72","54","38"
"560","SKU-560","Item 560","115.79","96","17"
"561","SKU-561","Item 561","422.87","100","24"
"562","SKU-562","Item 562","588.58","13","33"
"563","SKU-563","Item 563","181.93","41","32"
"564","SKU-564","Item 564","643.25","54","10"
"565","SKU-565","Item 565","979.06","57","27"
"566","SKU-566","Item 566","572.94","5","42"
"567","SKU-567","Item 567","318.15","80","20"
"568","SKU-568","Item 568","799.03","87","8"
"569","SKU-569","Item 569","684.08","10","7"
"570","SKU-570","Item 570","397.18","15","29"
"571","SKU-571","Item 571","528.46","17","28"
"572","SKU-572","Item 572","635.10","80","8"
"573","SKU-573","Item 573","327.46","56","4"
"574","SKU-574","Item 574","195.30","38","17"
"575","SKU-575","Item 575","983.29","72","13"
"576","SKU-576","Item 576","828.40","76","22"
"577","SKU-577","Item 577","490.50","37","12"
"578","SKU-578","Item 578","886.38","31","20"
"579","SKU-579","Item 579","637.02","4","3"
"580","SKU-580","Item 580","682.21","56","9"
"581","SKU-581","Item 581","656.55","70","22"
"582","SKU-582","Item 582","590.53","63","36"
"583","SKU-583","Item 583","672.38","2","40"
"584","SKU-584","Item 584","476.90","97","18"
"585","SKU-585","Item 585","501.37","86","11"
"586","SKU-586","Item 586","243.51","60","4"
"587","SKU-587","Item 587","48.40","67","21"
"588","SKU-588","Item 588","495.80","97","49"
"589","SKU-589","Item 589","579.45","27","34"
"590","SKU-590","Item 590","982.17","92","19"
"591","SKU-591","Item 591","772.83","19","42"
"592","SKU-592","Item 592","210.36","6","47"
"593","SKU-593","Item 593","457.21","8","29"
"594","SKU-594","Item 594","407.50","62","33"
"595","SKU-595","Item 595","352.34","91","15"
"596","SKU-596","Item 596","841.88","51","32"
"597","SKU-597","Item 597","910.50","86","21"
"598","SKU-598","Item 598","684.50","87","22"
"599","SKU-599","Item 599","901.21","28","37"
"600","SKU-600","Item 600","600.32","38","16"
"601","SKU-601","Item 601","116.22","31","44"
"602","SKU-602","Item 602","11.35","4","14"
"603","SKU-603","Item 603","621.37","84","31"
"604","SKU-604","Item 604","765.06","28","29"
"605","SKU-605","Item 605","130.47","40","20"
"606","SKU-606","Item 606","912.98","75","45"
"607","SKU-607","Item 607","529.34","55","43"
